"matricula","nombre","password","roles","id_carrera","telefono","correo"
"C1001","Coordinador software semi","segura123","C","ISftwS","4921456666","correo@personal.com"
"P0001","Jesus Antonio Diaz","segura123","D","","4921456666","correo@personal.com"
"T1001","Tutor semi","segura123","T","","4921456666","correo@personal.com"
"A1001","Admin software semi","segura123","A","ISftwS","4921456666","correo@personal.com"
"T0001","tutor","segurisima123","T","","123123123","stimpabo27@gmail.com"
"A1002","Administrador computacion semi","segura123","A","ICmpS","4921456666","correo@personal.com"
"C0004","Coordinador electronica industrial","segurisima123","C","IEInd","123123123","stimpabo27@gmail.como"
"C0006","Coordinador robotica y macanica","segurisima123","C","IRMca","123123123","stimpabo27@gmail.como"
"C0007","Coordinador electrica","A210","C","IElec","1231231321","stimpabo27@gmail.como"
"A1003","Administrador desarrollo semi","segura123","A","IDsrS","4921456666","correo@personal.com"
"C1004","Coordinador robotica semi","segura123","C","IRMcaS","4921456666","correo@personal.com"
"A0002","admin des","segurisima123","A","IDsr","123123123123","stimpabo27@gmail.com"
"A0003","admin elec","segurisima123","A","IEInd","4921456666","stimpabo27@gmail.com"
"A0004","admin comp","segurisima123","A","ICmp","123123123123","stimpabo27@gmail.com"
"A1004","Administrador robotica semi","segura123","A","IRMcaS","4921456666","correo@personal.com"
"A0005","admin rob","segurisima123","A","IRMca","123123123123","stimpabo27@gmail.com"
"A0006","admin elec","segurisima123","A","IElec","123123123","stimpabo27@gmail.com"
"A0001","admin softw","segurisima123","A","ISftw","123123123123","stimpabo27@gmail.com"
"C1005","Coordinador electronica semi","segura123","C","IEIndS","4921456666","correo@personal.com"
"A1005","Admin electronica semi","segura123","A","IEIndS","4921456666","correo@personal.com"
"C1006","Coordinador electricista semi","segura123","C","IElecS","4921456666","correo@personal.com"
"A1006","Admin electricista semi","segura123","A","IElecS","4921456666","correo@personal.com"
"C1002","Coordinador Computacion semi","segura123","C","ICmpS","4921456666","correo@personal.com"
"P1001","Daniel Ramos Arteaga","segura123","D","","4921455566","correo@gmail.com"
"P1002","Alejandro Lopez Garcia","segura123","D","","4921455566","correo@gmail.com"
"P1003","Alexis Perez Ramos","segura123","D","","4921455566","correo@gmail.com"
"P1004","Jose Luis Estrada","segura123","D","","4921455566","correo@gmail.com"
"C1003","Coordinador desarrollo semi","segura123","C","IDsrS","4921455566","correo@gmail.com"
"P0002","docente","segura123","D","","4921455566","correo@gmail.com"
"C0000","cordinador spftw","segura123","C","ISftw","4921456666","correo@personal.com"
"C0001","Coordinador des	","segura123","C","IDsr","4921455566","correo@gmail.com"
"T0010","Tutor 2","SEGURISIMA123","T","","4921429773","stimpabo27@gmail.com"
"T0011","Tutor 2","segura123","T","","123123123123","stimpabo27@gmail.com"
