"id_carrera","matricula","nombre","matricula_tutor","telefono","correo"
"ISftwS","A501","Juan Fernando Delgado","T0001","4921456666","rzamarripam2001@gmail.com"
"ISftw","A000","alumno soft","P0002","1212121212","stimpabo27@gmail.com"
"ISftw","A001","alumno softw","","123123123","stimpabo27@gmail.com"
"ICmpS","A601","Esteban Lopez","C0007","4921456666","rogerzma500@gmail.com"
"IDsrS","A701","Sofia Lopez","P1003","4921456666","correo@personal.com"
"IRMcaS","A801","Kevin Rios","T0001","4921456666","rogerzma500@gmail.com"
"IEIndS","A0901","Algebra vectorial","P0001","4921456666","rogerzama710@gmail.com"
"IElecS","A951","Maria Elena Sanchez","T1001","4921456666","correo@personal.com"
"IDsr","A0001","alumno des","T0001","4921429773","stimpabo27@gmail.com"
"IEInd","A002","alumno Eind","C0004","4921429773","stimpabo27@gmail.com"
"IEInd","A0003","alumno EInd","T0001","4021326553","stimpabo27@gmail.com"
"ICmp","A0004","Alumno comp","P0002","1212121212","stimpabo27@gmail.com"
"IRMca","A0005","alumno rob","T0001","1212121212","stimpabo27@gmail.com"
"ICmp","A0006","alumno comp","T0001","123123123123","stimpabo27@gmail.com"
"IDsrS","A702","Luis Ramos","P0001","4921456666","correo@personal.com"
"IElec","A0007","ALUMNO ELEC","C0007","4921429773","stimpabo27@gmail.com"
"ISftw","A100","Alumno soft 2","T0011","4921456666","rogerzma500@gmail.com"
"ISftw","A101","Alumno soft 3","T0001","4921456666","rzamarripam2001@gmail.com"
